Customer_ID,First_Name,Last_Name,Address,City,State,Zipcode,Phone_Number
100,Henry,Jones,101 South St,Kellogg,IA,50135,123-123-1234
101,Russell,Emmerson,13 Right Blvd,Paton,IA,50217,123-456-7890
102,Emily,Fulson,1423 1st St,Ankeny,IA,50023,123-321-3210
103,Stanley,Smith,213 W 4th Ave,Waukee,IA,50263,321-123-4567
104,Rachel,Frank,77 Water Rd,Waukee,IA,50263,987-654-3210
105,Amy,Jackson,941 Grand Ave,Des Moines,IA,50309,987-123-4567
106,Shelby,Williams,8832 Mortenson Rd,Ames,IA,50010,456-789-1234
107,Jack,Winston,341 Sycamore Rd,Cambridge,IA,50046,456-123-4567
108,Gregg,Harrison,432 W Ontario St,Ames,IA,50010,109-876-5432
109,Marshall,McGee,199 16th St,Ames,IA,50010,321-987-6543
110,Melissa,Wyatt,7489 University Ave,Ames,IA,50010,789-101-2345
101,Tiffany,Hansen,75 Creek Rd,Ames,IA,50010,012-345-6789
